name,rating,reviews,latitude,longitude,url,category,location
Langgar Tinggi,4.6,318.0,-6.1416008,106.8058563,https://www.google.com/maps/place/Langgar+Tinggi/data=!4m7!3m6!1s0x2e69f61b5462d161:0x2be353229897b742!8m2!3d-6.1416008!4d106.8058563!16s%2Fg%2F11f08nsp9l!19sChIJYdFiVBv2aS4RQreXmCJT4ys,Sejarah & Budaya,Jakarta Barat
Information Museum,4.7,761.0,-6.299318,106.8934026,https://www.google.com/maps/place/Information+Museum/data=!4m7!3m6!1s0x2e69ed5ee602052d:0xddffe1d57a24b3f!8m2!3d-6.299318!4d106.8934026!16s%2Fg%2F1pv5vmg2g!19sChIJLQUC5l7taS4RP0uiVx3-3w0,Sejarah & Budaya,Jakarta Timur
Antara Gallery of Photo Journalism,4.5,172.0,-6.1654855,106.8340188,https://www.google.com/maps/place/Antara+Gallery+of+Photo+Journalism/data=!4m7!3m6!1s0x2e69f5cf64ddae31:0xcafb10be4cdaf3c8!8m2!3d-6.1654855!4d106.8340188!16s%2Fg%2F1s0547pjv!19sChIJMa7dZM_1aS4RyPPaTL4Q-8o,Sejarah & Budaya,Jakarta Selatan
"Museum "" Rumah Kolonial "" Arsip Nasional",4.8,64.0,-6.153808,106.816843,https://www.google.com/maps/place/Museum+%22+Rumah+Kolonial+%22+Arsip+Nasional/data=!4m7!3m6!1s0x2e69f7a0730eb953:0xa81568e2e7f58162!8m2!3d-6.153808!4d106.816843!16s%2Fg%2F11jg5mtsl2!19sChIJU7kOc6D3aS4RYoH15-JoFag,Sejarah & Budaya,Jakarta Pusat
"Museum "" Rumah Kolonial "" Arsip Nasional",4.8,64.0,-6.153808,106.816843,https://www.google.com/maps/place/Museum+%22+Rumah+Kolonial+%22+Arsip+Nasional/data=!4m7!3m6!1s0x2e69f7a0730eb953:0xa81568e2e7f58162!8m2!3d-6.153808!4d106.816843!16s%2Fg%2F11jg5mtsl2!19sChIJU7kOc6D3aS4RYoH15-JoFag,Sejarah & Budaya,Jakarta Barat
Museum DPR RI,4.5,32.0,-6.210306,106.7997213,https://www.google.com/maps/place/Museum+DPR+RI/data=!4m7!3m6!1s0x2e69f78e29c1ad95:0x1d68da9cf80732f3!8m2!3d-6.210306!4d106.7997213!16s%2Fg%2F11g3xy1r52!19sChIJla3BKY73aS4R8zIH-JzaaB0,Sejarah & Budaya,Jakarta Selatan
Electricity and Renewable Energy Museum,4.7,1318.0,-6.303353,106.9049733,https://www.google.com/maps/place/Electricity+and+Renewable+Energy+Museum/data=!4m7!3m6!1s0x2e69ed5110790809:0x8e9980292a3ca002!8m2!3d-6.303353!4d106.9049733!16s%2Fg%2F1vgx31br!19sChIJCQh5EFHtaS4RAqA8KimAmY4,Sejarah & Budaya,Jakarta Timur
Rumah MT Haryono,4.8,41.0,-6.1986337,106.8479974,https://www.google.com/maps/place/Rumah+MT+Haryono/data=!4m7!3m6!1s0x2e69f5281c70da13:0x2dc238533a0a61ac!8m2!3d-6.1986337!4d106.8479974!16s%2Fg%2F11fm_9fy78!19sChIJE9pwHCj1aS4RrGEKOlM4wi0,Sejarah & Budaya,Jakarta Pusat
Gedung Singa,4.3,36.0,-6.1363262,106.8114253,https://www.google.com/maps/place/Gedung+Singa/data=!4m7!3m6!1s0x2e69f602041188a1:0xdec4e9cd8d246dfd!8m2!3d-6.1363262!4d106.8114253!16s%2Fg%2F11c7t6_bps!19sChIJoYgRBAL2aS4R_W0kjc3pxN4,Sejarah & Budaya,Jakarta Barat
Museum DPR RI,4.5,32.0,-6.210306,106.7997213,https://www.google.com/maps/place/Museum+DPR+RI/data=!4m7!3m6!1s0x2e69f78e29c1ad95:0x1d68da9cf80732f3!8m2!3d-6.210306!4d106.7997213!16s%2Fg%2F11g3xy1r52!19sChIJla3BKY73aS4R8zIH-JzaaB0,Sejarah & Budaya,Jakarta Pusat
